text,label,source,clean_text
"Kenalin Ini Rika, Teller BRI yang Nyikat Uang Nasabah Rp 2,3 Miliar",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,kenalin ini rika teller bri yang nyikat uang nasabah rp miliar
Kepo Prospek UMKM? Yuk Daftar BRI Microfinance Outlook 2023,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,kepo prospek umkm yuk daftar bri microfinance outlook
BRI dan Cita Tenun Indonesia Garap Pameran ANTOLOGI,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri dan cita tenun indonesia garap pameran antologi
"Dirut BRI: 2023 Jadi Tahun Ekspansi, Masyarakat Jangan Takut Nabung dan Pinjam Kredit di Bank",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,dirut bri jadi tahun ekspansi masyarakat jangan takut nabung dan pinjam kredit di bank
"Lampaui Target, BRI Sukses Jual SBN SR018 Hingga Rp 1,7 T",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,lampaui target bri sukses jual sbn sr hingga rp t
"Pacu Ekspansi Kredit, BRI Terbitkan Obligasi Rp 5 Triliun",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,pacu ekspansi kredit bri terbitkan obligasi rp triliun
Kinerja Keuangan Bank Mandiri-BRI di Kuartal III Tahun 2016,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,kinerja keuangan bank mandiri bri di kuartal iii tahun
"Timtas Tipikor Kaji Korupsi BRI, Jiwasraya & PLN",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,timtas tipikor kaji korupsi bri jiwasraya pln
"Diserbu Investor Ritel, SUN Seri SBR011 di BRI Laku Rp 1,5 T",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,diserbu investor ritel sun seri sbr di bri laku rp t
"Ramadhan, BRI Bagikan Paket Sembako Rp 5 M ke Panti Asuhan & Jompo",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,ramadhan bri bagikan paket sembako rp m ke panti asuhan jompo
Jalur Mudik BRI 2019 Siap Menemani Perjalanan ke Kampung Halaman,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,jalur mudik bri siap menemani perjalanan ke kampung halaman
Gugus Tugas Lakukan Penyelidikan Epidemiologi Kasus Karyawan BRI,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,gugus tugas lakukan penyelidikan epidemiologi kasus karyawan bri
BRI Hadirkan Keseruan Pesta Rakyat Simpedes 2022 di Kota Tasikmalaya,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri hadirkan keseruan pesta rakyat simpedes di kota tasikmalaya
BRI Bantu 38.800 UMKM Kembangkan Usaha Lewat Aplikasi,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri bantu umkm kembangkan usaha lewat aplikasi
Polisi Periksa Satpam Bank BRI Condet,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,polisi periksa satpam bank bri condet
"Perampok Sekap Pegawai dan Nasabah BRI di Ciamis, Uang Rp 126 Juta Raib",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,perampok sekap pegawai dan nasabah bri di ciamis uang rp juta raib
BRI Danareksa Sekuritas Rilis Sistem Online Trading Syariah,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri danareksa sekuritas rilis sistem online trading syariah
"BRI Tebar Dividen Rp 288,2/ Saham, Catat Jadwalnya!",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri tebar dividen rp saham catat jadwalnya
MA Perintahkan Bank BRI Bayar Gaji Eks Buruh PT PGNI,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,ma perintahkan bank bri bayar gaji eks buruh pt pgni
BRI Beri Bantuan Renovasi Gedung Sekolah SD di Kalimantan Utara,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri beri bantuan renovasi gedung sekolah sd di kalimantan utara
Nana Sedang Tidur Lelap Saat Perampok BRI Cipulir Beraksi,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,nana sedang tidur lelap saat perampok bri cipulir beraksi
Ini Isi Bom Palsu Perampok Kantor BRI RSUP dr Sardjito Yogya,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,ini isi bom palsu perampok kantor bri rsup dr sardjito yogya
BRI Insurance Perluas Jangkauan Layanan Asuransi Mikro bagi UMKM,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri insurance perluas jangkauan layanan asuransi mikro bagi umkm
"Selain Milenial, BRI Juga Kenalkan BRImo ke Nasabah Mikro",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,selain milenial bri juga kenalkan brimo ke nasabah mikro
Begini Cara BRI Kuatkan UMKM Hingga Kebal Kenaikan Suku Bunga,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,begini cara bri kuatkan umkm hingga kebal kenaikan suku bunga
BRI Fokus Pada Pemberdayaan UMKM Lewat Transformasi Digital,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri fokus pada pemberdayaan umkm lewat transformasi digital
BRI Kucurkan Tambahan Modal kepada BRI Ventura Investama,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri kucurkan tambahan modal kepada bri ventura investama
"Jutaan Data Nasabah BRI Diduga Bocor, Kemenkominfo Lakukan Investigasi",negative,huggingface:intanm/indonesian-financial-sentiment-analysis,jutaan data nasabah bri diduga bocor kemenkominfo lakukan investigasi
"Peringati Hari Kartini, BRI Group Apresiasi 7 Ribu Perempuan Lewat Woman 2022",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,peringati hari kartini bri group apresiasi ribu perempuan lewat woman
"Bos BRI Borong Saham, Bukti Trust Management ke Perusahaan",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bos bri borong saham bukti trust management ke perusahaan
BRI Kucurkan Rp 2 Triliun untuk Proyek LRT,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bri kucurkan rp triliun untuk proyek lrt
Pengamat Pasar Modal Sebut BRI Unggul di Investasi Hijau Berkat Penerapan Prinsip ESG,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,pengamat pasar modal sebut bri unggul di investasi hijau berkat penerapan prinsip esg
"Fantastis, Transaksi Agen BRILink Nyaris Tembus Rp1,3 Kuadriliun",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,fantastis transaksi agen brilink nyaris tembus rp kuadriliun
"Dongkrak Pariwisata, BRI Adakan Travel Fair 2022",positive,huggingface:intanm/indonesian-financial-sentiment-analysis,dongkrak pariwisata bri adakan travel fair
Bangga! BRI Jadi Best Company to Work for in Asia 2022,positive,huggingface:intanm/indonesian-financial-sentiment-analysis,bangga bri jadi best company to work for in asia
BRI Fokus Garap Pasar Domestik,neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,bri fokus garap pasar domestik
"Program Makmur Pupuk Indonesia dan BRI, Erick Thohir Minta Harus Bisa Tingkatkan Ekonomi Rakyat",neutral,huggingface:intanm/indonesian-financial-sentiment-analysis,program makmur pupuk indonesia dan bri erick thohir minta harus bisa tingkatkan ekonomi rakyat
3 Tahun Kartu Kredit Pengganti BRI tidak Dikirimkan,negative,huggingface:intanm/indonesian-financial-sentiment-analysis,tahun kartu kredit pengganti bri tidak dikirimkan
