date,ticker,source,text
2026-06-22,BBRI,contoh,BBRI mencatat pertumbuhan kredit yang kuat dan laba meningkat signifikan.
2026-06-22,BBCA,contoh,BBCA tetap stabil dengan kualitas aset yang baik dan optimisme pemulihan ekonomi.
2026-06-22,TLKM,contoh,TLKM menghadapi tekanan kompetisi dan risiko penurunan margin.
2026-06-22,ANTM,contoh,"Harga komoditas volatil, tetapi permintaan ekspor masih tumbuh."
2026-06-22,GOTO,contoh,Investor masih khawatir terhadap rugi bersih dan tekanan pendanaan.
2026-06-22,BBRI,investor.id,"4 Saham Diterjang, Gelombang Jual Asing Nyaris Rp 70 Triliun - investor.id"
2026-06-09,BBRI,Pluang,Cara Investasi Saham BRI untuk Pemula: Panduan Lengkap & OJK 2026 - Pluang
2026-06-22,BBRI,detikFinance,"IHSG Bergerak Dua Arah Pagi Ini, Saham Bank Raksasa Kompak Melemah - detikFinance"
2026-06-04,BBRI,TradingView,"Saham BBCA dan BBRI Catat Rekor Terlemah 5 Tahun Terakhir, Cek Rekomendasi Analis - TradingView"
2026-06-22,BBRI,TradingView,"Cermati Rekomendasi Teknikal Saham CTRA, ASII, BBRI untuk Selasa (23/6) - TradingView"
2026-06-15,BBRI,investor.id,Saham BBRI Melonjak Gara-gara Ini - investor.id
2026-06-20,BBRI,kontan.co.id,"Ada BBRI dan ASII, Intip Saham yang Jadi Sasaran Jual Asing Sepekan Terakhir - kontan.co.id"
2026-06-18,BBRI,Kompas.com,"Saham BBRI hingga BBCA Kompak Turun, Pasar Menanti Hasil RDG BI - Kompas.com"
2026-06-10,BBRI,investor.id,"Yang Borong Saham BBRI, Harga Bisa ke Sini - investor.id"
2026-06-08,BBRI,investor.id,"Saham BBRI Kemurahan Banget, Muncul Penerawangan - investor.id"
2026-06-18,BBRI,investor.id,Saham BBRI Disorot - investor.id
2026-06-17,BBRI,investor.id,Duit Gede Mengalir ke BBRI dan BBCA - investor.id
2026-06-17,BBRI,investor.id,Situasi di Saham BBRI Mendadak Berubah - investor.id
2026-06-20,BBRI,KabarBursa.com,"Big Banks Sepekan: BBCA Akumulasi Asing, BBRI-BMRI Kehilangan Momentum - KabarBursa.com"
2026-06-18,BBRI,Bloomberg Technoz,"Investor Asing Net Buy Rp2 T, Saham BBRI dan BBCA Diborong - Bloomberg Technoz"
2026-06-09,BBRI,Bloomberg Technoz,"Saham BBRI Melonjak 6%, Dorong IHSG Melesat - Market - Bloomberg Technoz"
2026-06-20,BBRI,kontan.co.id,"Cek Rekomendasi Saham Danantara: ANTM, TINS, BBRI, TLKM Bisa Jadi Pilihan - kontan.co.id"
2026-04-08,BBRI,maybanktrade.co.id,Target Saham BBRI 2026: Intip Bocoran Dividen dan Rekomendasi - maybanktrade.co.id
2026-06-03,BBRI,investor.id,Saham BBRI Berbalik - investor.id
2026-06-02,BBRI,investor.id,Saham BBRI Bisa-bisa Jadi Segini - investor.id
2026-06-12,BBRI,pasardana.id,"BRI Gelontorkan Rp500 Miliar untuk Buyback, Akankah Saham BBRI Rebound? - pasardana.id"
2026-06-17,BBRI,Bisnis Indonesia Premium,"Beda Arah Investor Asing di Saham BUMI, BRMS, TPIA, BBRI Hingga BBCA - Bisnis Indonesia Premium"
2026-04-21,BBRI,Ajaib,"BBRI Masuki Periode Ex-Date Dividen, Apa yang Perlu Diketahui Investor? - Ajaib"
