date,ticker,source,text,label,score,sentiment_score,positive_hits,negative_hits,method
2026-06-22,BBRI,contoh,BBRI mencatat pertumbuhan kredit yang kuat dan laba meningkat signifikan.,POSITIVE,0.6231,0.65,0,0,ml_tfidf_linear_svm
2026-06-22,BBCA,contoh,BBCA tetap stabil dengan kualitas aset yang baik dan optimisme pemulihan ekonomi.,POSITIVE,0.6276,0.65,0,0,ml_tfidf_linear_svm
2026-06-22,TLKM,contoh,TLKM menghadapi tekanan kompetisi dan risiko penurunan margin.,NEUTRAL,0.6202,0.0,0,0,ml_tfidf_linear_svm
2026-06-22,ANTM,contoh,"Harga komoditas volatil, tetapi permintaan ekspor masih tumbuh.",POSITIVE,0.6182,0.65,0,0,ml_tfidf_linear_svm
2026-06-22,GOTO,contoh,Investor masih khawatir terhadap rugi bersih dan tekanan pendanaan.,POSITIVE,0.622,0.65,0,0,ml_tfidf_linear_svm
2026-06-22,BBRI,investor.id,"4 Saham Diterjang, Gelombang Jual Asing Nyaris Rp 70 Triliun - investor.id",POSITIVE,0.6441,0.65,0,0,ml_tfidf_linear_svm
2026-06-09,BBRI,Pluang,Cara Investasi Saham BRI untuk Pemula: Panduan Lengkap & OJK 2026 - Pluang,NEUTRAL,0.6318,0.0,0,0,ml_tfidf_linear_svm
2026-06-22,BBRI,detikFinance,"IHSG Bergerak Dua Arah Pagi Ini, Saham Bank Raksasa Kompak Melemah - detikFinance",NEUTRAL,0.6547,0.0,0,0,ml_tfidf_linear_svm
2026-06-04,BBRI,TradingView,"Saham BBCA dan BBRI Catat Rekor Terlemah 5 Tahun Terakhir, Cek Rekomendasi Analis - TradingView",NEUTRAL,0.6094,0.0,0,0,ml_tfidf_linear_svm
2026-06-22,BBRI,TradingView,"Cermati Rekomendasi Teknikal Saham CTRA, ASII, BBRI untuk Selasa (23/6) - TradingView",POSITIVE,0.65,0.65,0,0,ml_tfidf_linear_svm
2026-06-15,BBRI,investor.id,Saham BBRI Melonjak Gara-gara Ini - investor.id,POSITIVE,0.6709,0.65,0,0,ml_tfidf_linear_svm
2026-06-20,BBRI,kontan.co.id,"Ada BBRI dan ASII, Intip Saham yang Jadi Sasaran Jual Asing Sepekan Terakhir - kontan.co.id",NEUTRAL,0.6379,0.0,0,0,ml_tfidf_linear_svm
2026-06-18,BBRI,Kompas.com,"Saham BBRI hingga BBCA Kompak Turun, Pasar Menanti Hasil RDG BI - Kompas.com",POSITIVE,0.6812,0.65,0,0,ml_tfidf_linear_svm
2026-06-10,BBRI,investor.id,"Yang Borong Saham BBRI, Harga Bisa ke Sini - investor.id",POSITIVE,0.6862,0.65,0,0,ml_tfidf_linear_svm
2026-06-08,BBRI,investor.id,"Saham BBRI Kemurahan Banget, Muncul Penerawangan - investor.id",POSITIVE,0.6812,0.65,0,0,ml_tfidf_linear_svm
2026-06-18,BBRI,investor.id,Saham BBRI Disorot - investor.id,POSITIVE,0.7081,0.65,0,0,ml_tfidf_linear_svm
2026-06-17,BBRI,investor.id,Duit Gede Mengalir ke BBRI dan BBCA - investor.id,POSITIVE,0.6777,0.65,0,0,ml_tfidf_linear_svm
2026-06-17,BBRI,investor.id,Situasi di Saham BBRI Mendadak Berubah - investor.id,POSITIVE,0.6902,0.65,0,0,ml_tfidf_linear_svm
2026-06-20,BBRI,KabarBursa.com,"Big Banks Sepekan: BBCA Akumulasi Asing, BBRI-BMRI Kehilangan Momentum - KabarBursa.com",POSITIVE,0.6417,0.65,0,0,ml_tfidf_linear_svm
2026-06-18,BBRI,Bloomberg Technoz,"Investor Asing Net Buy Rp2 T, Saham BBRI dan BBCA Diborong - Bloomberg Technoz",POSITIVE,0.6654,0.65,0,0,ml_tfidf_linear_svm
2026-06-09,BBRI,Bloomberg Technoz,"Saham BBRI Melonjak 6%, Dorong IHSG Melesat - Market - Bloomberg Technoz",POSITIVE,0.6589,0.65,0,0,ml_tfidf_linear_svm
2026-06-20,BBRI,kontan.co.id,"Cek Rekomendasi Saham Danantara: ANTM, TINS, BBRI, TLKM Bisa Jadi Pilihan - kontan.co.id",NEUTRAL,0.6403,0.0,0,0,ml_tfidf_linear_svm
2026-04-08,BBRI,maybanktrade.co.id,Target Saham BBRI 2026: Intip Bocoran Dividen dan Rekomendasi - maybanktrade.co.id,POSITIVE,0.6368,0.65,0,0,ml_tfidf_linear_svm
2026-06-03,BBRI,investor.id,Saham BBRI Berbalik - investor.id,POSITIVE,0.7081,0.65,0,0,ml_tfidf_linear_svm
2026-06-02,BBRI,investor.id,Saham BBRI Bisa-bisa Jadi Segini - investor.id,POSITIVE,0.6779,0.65,0,0,ml_tfidf_linear_svm
2026-06-12,BBRI,pasardana.id,"BRI Gelontorkan Rp500 Miliar untuk Buyback, Akankah Saham BBRI Rebound? - pasardana.id",POSITIVE,0.6497,0.65,0,0,ml_tfidf_linear_svm
2026-06-17,BBRI,Bisnis Indonesia Premium,"Beda Arah Investor Asing di Saham BUMI, BRMS, TPIA, BBRI Hingga BBCA - Bisnis Indonesia Premium",POSITIVE,0.6722,0.65,0,0,ml_tfidf_linear_svm
2026-04-21,BBRI,Ajaib,"BBRI Masuki Periode Ex-Date Dividen, Apa yang Perlu Diketahui Investor? - Ajaib",NEUTRAL,0.6514,0.0,0,0,ml_tfidf_linear_svm
2026-04-20,BBRI,Ajaib,"Dividen BBRI Cum Date Hari Ini, Berapa Bagian Direksi dan Publik? - Ajaib",NEUTRAL,0.6687,0.0,0,0,ml_tfidf_linear_svm
2026-06-17,BBRI,KabarBursa.com,"BBCA dan BBRI Topang Sesi I, Value dan Volumenya Melejit - KabarBursa.com",POSITIVE,0.6456,0.65,0,0,ml_tfidf_linear_svm
2026-06-22,BBRI,manual,BBRI,POSITIVE,0.6987,0.65,0,0,ml_tfidf_linear_svm
2026-06-22,BBRI,Mitrapost.com,"5 Saham yang Berpotensi Bergerak Signifikan Selasa Besok, Apa Aja? - Mitrapost.com",NEUTRAL,0.6496,0.0,0,0,ml_tfidf_linear_svm
